"user","artist","count"
148,750,2
386,29522,2
1616,48132,2
4033,50748,2
7,7749,2
356,24396,2
4049,22353,2
476,669,2
146,20398,2
7,32043,2
479,62864,2
7,164,2
132,19918,2
146,20396,2
316,32658,2
356,28563,2
1,2759,2
375,32033,2
316,1049,2
1616,50297,2
7,38796,2
148,20078,2
124,3897,2
1,28407,2
7,3897,2
132,19835,2
6855,49124,2
312,22568,2
375,33718,2
7,8178,2
7,3796,2
1616,48869,2
1616,43596,2
405,39435,2
1,18857,2
476,10627,2
316,5547,2
148,20048,2
337,4635,2
124,3098,2
1,329,2
375,28116,2
405,20440,2
313,23548,2
7,5462,2
311,26512,2
316,31921,2
124,19171,2
1,950,2
312,26459,2
7,11040,2
316,32582,2
7,7256,2
7,6033,2
12,172,2
186,24310,2
7,18898,2
1,878,2
7,18882,2
7,5367,2
132,19728,2
7,38775,2
107,20111,2
316,3796,2
316,15353,2
3993,63317,2
7,18865,2
405,23892,2
7,18860,2
316,18897,2
148,1019,2
431,35139,2
330,20122,2
316,21391,2
148,16794,2
66,9263,2
46,498,2
124,17575,2
316,5192,2
7,8829,2
316,14806,2
7,18894,2
8,7022,2
1616,47037,2
7,19587,2
375,24158,2
25,498,2
124,15584,2
405,39769,2
479,55533,2
7,17754,2
309,24137,2
330,29938,2
7,18877,2
7,18866,2
7,18875,2
7,498,2
6430,59722,2
375,26499,2
7,6372,2
148,23174,2
7,1980,2
187,19598,2
372,27808,2
316,32721,2
124,17576,2
30,21369,2
316,36290,2
30,49888,2
405,39436,2
7,6602,2
1,687,2
148,19997,2
7,18318,2
316,35470,2
3993,48838,2
405,40513,2
7,23291,2
431,36900,2
1,7657,2
148,29421,2
316,18990,2
148,2146,2
7,22815,2
7,18848,2
375,35647,2
316,35237,2
3743,18743,2
7,18862,2
375,37442,2
1,725,2
6855,61392,2
405,39900,2
431,36359,2
7,12062,2
7,18269,2
1,1044,2
1616,48655,2
6855,61421,2
356,30044,2
124,17672,2
5112,56046,2
7,10501,2
148,27082,2
312,26996,2
316,23626,2
7,473,2
316,20064,2
405,9541,2
7,12449,2
6855,65980,2
1,211,2
431,22509,2
7,1736,2
375,25164,2
405,20907,2
42,498,2
7,3041,2
1616,47056,2
1616,50323,2
316,32655,2
1616,53902,2
102,10870,2
6855,49655,2
160,20137,2
479,62877,2
124,15512,2
405,2628,2
186,41045,2
85,20113,2
405,904,2
7,18874,2
230,22139,2
1,4855,2
146,20122,2
8100,66064,1
5889,59874,1
3993,48548,1
498,45079,1
455,41954,1
186,25427,1
186,21643,1
500,63232,1
186,22790,1
107,18227,1
30,2805,1
107,19534,1
330,24498,1
405,39772,1
186,28460,1
312,26476,1
230,21034,1
12,283,1
5112,69937,1
504,65716,1
6855,61317,1
7,43027,1
7,21107,1
3993,66491,1
3993,53311,1
356,28310,1
18,27129,1
124,15406,1
426,56931,1
375,32992,1
102,161,1
330,49892,1
186,24175,1
337,23642,1
186,45848,1
8244,67478,1
4480,63434,1
316,40097,1
186,37378,1
498,44213,1
431,35724,1
30,28737,1
6124,60334,1
431,46860,1
186,27229,1
102,16056,1
3872,48948,1
316,37049,1
356,28358,1
500,68026,1
6166,68731,1
479,24933,1
148,20074,1
512,51511,1
313,29355,1
7,39563,1
316,11165,1
356,41021,1
186,28031,1
148,19620,1
405,5325,1
186,40746,1
455,41994,1
405,6717,1
186,28462,1
356,28861,1
186,22876,1
94,10809,1
330,65941,1
8244,69172,1
432,35322,1
330,30902,1
529,46502,1
4049,57757,1
160,1044,1
3993,58258,1
3993,55496,1
431,39081,1
432,34804,1
148,22143,1
7,638,1
375,36284,1
393,30512,1
191,25689,1
186,25296,1
191,27628,1
4049,27202,1
324,25328,1
3993,58724,1
316,35302,1
30,3763,1
1616,54733,1
477,59805,1
477,62540,1
6124,60290,1
3993,51981,1
479,48627,1
405,31282,1
1,26305,1
3993,56820,1
3993,57578,1
186,55608,1
3993,56102,1
186,40755,1
4042,48924,1
132,20907,1
500,59364,1
186,66297,1
375,498,1
353,26124,1
476,60576,1
504,59595,1
498,46662,1
352,25931,1
